code,name,type,hmrc_box,vat_treatment,parent_code,status,qbo_detail_type,xero_tax_type,notes
104,Parking & Toll Charges,expenses,travel,,,active,,,
105,EV Charging,expenses,travel,,,active,,,
269,Computer Software,expenses,office,,,active,,,
271,Office Equipment,expenses,office,,,active,,,CHECK: expense or capitalised asset?
274,Telephone,expenses,office,,,active,,,
279,"Water, Tissues & Newspapers for Passengers",expenses,other,,,active,,,PHV-specific
281,Motor Expenses - Maintenance,expenses,travel,,283,active,,,
282,Motor Expenses - Insurance,expenses,travel,,283,active,,,
283,Motor Expenses,expenses,travel,,,active,,,Parent of 281/282/286/287/386
284,Subsistence,expenses,travel,,,active,,,
285,Lodging/Hotels,expenses,travel,,,active,,,
286,Motor Expense - Car Tax,expenses,travel,,283,active,,,NAMING: singular "Expense" vs plural elsewhere
287,Car Wash,expenses,travel,,283,active,,,
292,Accountancy Fees,expenses,professional,,,active,,,
358,Postage,expenses,office,,,active,,,
362,Interest Payable,expenses,interest,,,active,,,
363,Bank/Finance Charges,expenses,bank,,,active,,,
366,Use Of Home,expenses,premises,,,active,,,
367,"Statutory Fees, Licenses and permits",expenses,other,,,active,,,
386,Motor Expenses - Car Tax - Private Use,expenses,,,283,active,,,CHECK: private-use adjustment, disallowable? No HMRC box assigned
620,Prepayments,assets,,,,active,,,Balance sheet
681,Trade Debtors,assets,,,,active,,,Balance sheet
731,Bounce Back Loan,liabilities,,,,active,,,Balance sheet
