code,name,fallback_code,synonyms,vat_default,vat_variable,vat_recoverability,sa103f_box,mtd_itsa_category,vat_explanation
5000,Purchases,,,Standard,No,,17,Cost of goods bought for resale or goods used,
5001,Materials and consumables,,,Standard,No,,17,Cost of goods bought for resale or goods used,
5002,Subcontractor costs,,,Standard,Yes,,18,Construction industry - payments to subcontractors,"Subcontractor services are normally standard-rated, but construction reverse charge and qualifying reduced or zero-rated construction work can alter the VAT treatment."
5110,Carriage and freight inwards,,,Standard,Yes,,17,Cost of goods bought for resale or goods used,UK freight is normally standard-rated; qualifying international freight and certain import/export-related transport can be zero-rated or outside scope.
5120,Carriage and freight outwards,,,Standard,Yes,,30,Other business expenses,UK freight is normally standard-rated; qualifying international freight and certain import/export-related transport can be zero-rated or outside scope.
6130,Commissions payable,,,Standard,Yes,,30,Other business expenses,"Commission is normally standard-rated, but exempt financial intermediation or place-of-supply rules can alter the treatment."
6200,Sales promotion,,,Standard,No,,24,Advertising,
7001,Temporary and agency staff,,,Standard,No,,19,"Wages, salaries, and other staff costs",
7002,Subcontracted staff,,,Standard,No,,19,"Wages, salaries, and other staff costs",
7010,Staff training,,,Standard,No,,19,"Wages, salaries, and other staff costs",
7011,Staff welfare,,,Standard,No,,19,"Wages, salaries, and other staff costs",
7100,Rent,,,Exempt,Yes,,21,"Rent, rates, power, and insurance costs","Property rent is normally exempt, but an option to tax or specific property rules can make it taxable."
7105,Insurance,,,Exempt,No,,21,"Rent, rates, power, and insurance costs",
7106,Service charges,,,Not set,No,,21,"Rent, rates, power, and insurance costs",Service charges can follow the VAT treatment of the associated property rent; separately supplied property services are normally standard-rated.
7107,Premises insurance,,,Exempt,No,,21,"Rent, rates, power, and insurance costs",
7110,Rates,,,Outside scope,No,,21,"Rent, rates, power, and insurance costs",
7113,Business rates,,,Outside scope,No,,21,"Rent, rates, power, and insurance costs",
7114,Water rates,,,Zero-rated,Yes,,21,"Rent, rates, power, and insurance costs","Water and sewerage are commonly zero-rated, but supplies to certain industrial activities can be standard-rated."
7200,"Light, heating and power",,,Standard,Yes,,21,"Rent, rates, power, and insurance costs","Business fuel and power are normally standard-rated; qualifying domestic, charity non-business or de minimis supplies can be reduced-rated."
7210,Gas,,,Standard,Yes,,21,"Rent, rates, power, and insurance costs","Business gas is normally standard-rated; qualifying domestic, charity non-business or de minimis supplies can be reduced-rated."
7220,Electricity,,,Standard,Yes,,21,"Rent, rates, power, and insurance costs","Business electricity is normally standard-rated; qualifying domestic, charity non-business or de minimis supplies can be reduced-rated."
7300,Motor expenses,,,Standard,Yes,,20,"Car, van, and travel expenses",This is a broad motor-expense account; the VAT treatment depends on the underlying cost.
7301,Fuel and oil,,,Standard,No,"Private use of road fuel can require a specific input-tax method, including restriction of input tax or use of the fuel scale charge.",20,"Car, van, and travel expenses",
7302,EV charging,,,Standard,Yes,,20,"Car, van, and travel expenses",Public charging is standard-rated. Charging at home is at the domestic rate and the business proportion has to be worked out.
7310,Vehicle repairs and servicing,,,Standard,No,,20,"Car, van, and travel expenses",
7320,Vehicle licences,,,Outside scope,No,,20,"Car, van, and travel expenses",
